"","ID","Title","Premium","Period.Of.Rebalancing","Number.Of.Instruments","Markets.Traded","Instruments.Available","Complexity","Backtest.Period.Source","Backtest.Length","Indicative.Performance","Volatility","Maximum.Drawdown","Confidence.In.Anomaly","Keywords","Sharpe.Ratio","Fundamental reason","Hedge for stocks during bear markets","Introduction","Simple trading strategy","Source Paper"
"92",92,"January Effect Filter and Momentum in Stocks","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1926-2009",84,"20.40%*","30.00%*",NA,"Strong*","seasonality, stock picking, equity long short, momentum in stocks, momentum",0.55,NA,NA,NA,NA,NA
"93",93,"January Effect Filter and Mean Reversion in Stocks","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1926-2009",84,"11.27%*","12.70%*",NA,"Strong*","seasonality, stock picking, equity long short, reversal",0.86,NA,NA,NA,NA,NA
"94",94,"Trading on Earnings Announcements","Yes","Daily","1000*","equities","stocks","Very complex strategy","1987-2004",18,"70.00%*",NA,NA,"Strong","earnings announcement, stock picking, trading earnings",0,NA,NA,NA,NA,NA
"95",95,"Value Combined with Post-Earnings Announcement Drift","Yes","Quarterly","1000*","equities","stocks","Complex strategy","1984-2008",25,"16.61%*","11.00%",NA,"Strong","stock picking, value, earnings announcement, equity long short",1.15,NA,NA,NA,NA,NA
"96",96,"Crude Oil Predicts Equity Returns","No","Monthly","1","equities","ETFs, funds, futures, CFDs","Simple strategy","1988-2003",16,"11.90%*","9.80%*",NA,"Strong","market timing",0.81,"Equity predictability is explained by underreaction hypothesis. It seems that it takes time before information about oil price changes become fully reflected in stock market prices. Underreaction can occur due to a possible difficulty for investors to assess the impact of information on the value of stocks, or alternatively, when investors react to information at different points in time.","Partially - Selected strategy is a class of ""Market Timing"" strategies which try to rotate out of equities during time of stress. Therefore proposed strategy isn't mainly used as an addon to portfolio to hedge equity risk directly, but it is more an overlay which can be used to manage percentual representation of equities (or ""equity like asssets"") in a portfolio.  ""Equity Market Timing"" strategy can decrease overall risk of equities in a portfolio and it can improve the risk-adjusted returns. Moreover, as strategy's goal is to hold equity market only in a positive times for equity market factor and be out of equities otherwise, therefore this logic can be maybe used to create amended market timing strategy (using original rules) which is out of equities during positive times and holds bonds (or goes short equities) during bad times. This new amended strategy can be maybe used as a hedge/diversification to equity market risk factor during bear markets. However, performance/risk characteristics and overall correlation and quality of suggested ammended strategy can be find out only by rigorous backtest and source academic research paper doesn't give us any clues on how it will perform...","Crude oil is one of the most important commodities in the current global world. Simple logic says that oil prices should predict economy’s performance and therefore should also have some predictive ability for equity returns. Academic research confirms it and what’s more - it shows that oil isn‘t the only commodity with prediction ability (prices of some industrial metals could also be used as equity indicators). Higher oil prices predict lower future equity returns and vice versa. Therefore a simple market timing system which is using oil prices as an indicator to time equities can be constructed.","Several types of oil can be used (Brent, WTI, Dubai etc.) without big differences in results. The source paper for this anomaly uses Arab Light crude oil. Monthly oil returns are used in the regression equation as an independent variable and equity returns are used as a dependent variable. The model is re-estimated every month and observations of the last month are added. The investor determines whether the expected stock market return in a specific month (based on regression results and conditional on the oil price change in the previous month) is higher or lower than the risk-free rate. The investor is fully invested in the market portfolio if the expected return is higher (bull market); he invests in cash if the expected return is lower (bear market).","Driesprong, Jacobsen, Maat: Striking Oil: Another Puzzle?http://papers.ssrn.com/sol3/papers.cfm?abstract-id=460500Abstract:Changes in oil prices predict stock market returns worldwide. In our thirty year sample of monthly returns for developed stock markets, we find statistically significant predictability for twelve out of eighteen countries as well as for the world market index. Results are similar for our shorter time series of emerging markets. We find no evidence that our results can be explained by time varying risk premia. Even though oil price shocks increase risk, investors seem to underreact to information in the price of oil: a rise in oil prices does not lead to higher stock market returns, but drastically lowers returns. For instance, an oil price shock of one standard deviation (around 10 percent) predictably lowers world market returns by one percent. Oil price changes also significantly predict negative excess returns. Our findings are consistent with the hypothesis of a delayed reaction by investors to oil price changes. In line with this hypothesis the relation between monthly stock returns and lagged monthly oil price changes becomes substantially stronger once we introduce lags of several trading days between monthly stock returns and lagged monthly oil price changes."
"97",97,"Half-day Reversal","Yes","Intraday","50","equities","stocks","Complex strategy","2000-2010",11,"57.70%*","17.70%*",NA,"Strong","stock picking, reversal",1551571200,NA,NA,NA,NA,NA
"98",98,"Tax Expense Momentum","Yes","Quarterly","1000*","equities","stocks","Complex strategy*","1977-2006",30,"16.54%*","7.46%*",NA,"Strong*","momentum, financial statements effect, stock picking, equity long short",1.68,NA,NA,NA,NA,NA
"99",99,"FX Carry Trade Combined with PPP (Value) Strategy","Yes","Monthly","8","currencies","futures, forwards, swaps, CFDs","Complex strategy","1990-2008",19,"8.30%*","4.97%*",NA,"Strong","carry trade, value, FX anomaly, forex system",0.87,NA,NA,NA,NA,NA
"100",100,"Trading WTI/BRENT Spread","No","Daily","2","commodities","futures","Simple strategy","1995-2004",10,"39.40%*","21.65%*","-13.45%*","Moderately strong","pairs trading, arbitrage, spread trading",1.64,"Both oils differ in chemical compositions and they differ also in production and transportation attributes. These differences are reflected in the price spread between both futures contracts. The spread is mean reverting because most of the price shocks are only temporal so the spread moves back to its long term economical equilibrium and therefore it is possible to create a trading strategy based on this mean reversion. Caution should be only needed in utilizing parameters from the source paper as they are based on the short history and therefore could be susceptible to data mining bias.","Not known - Source and related research papers don't offer insight into correlation structure of trading strategy to equity market risk, therefore we do not know if this strategy can be used as a hedge/diversification during time of market crisis. Commodities usually have a negative correlation to equities therefore proposed strategy can be negatively correlated too, but rigorous backtest is needed to asses if this is the case ...","The WTI-Brent spread is the difference between the prices of two types of crude oil, West Texas Intermediate (WTI) on the long side and Brent Crude (Brent) on the short side. The two oils differ only in the ability of WTI to produce slightly more gasoline in the cracking ratio which causes WTI’s slight pricing margin over Brent. As both oils are very similar their spread shows signs of strong predictability and usually oscillates around some average value. It is therefore possible to use deviations from the fair spread value to bet on convergence back to fair value. The fair spread value could be calculated via moving average, regression, neural network regression or other procedures. We present moving average calculation as an example trading strategyfrom the source paper.","A 20-day moving average of WTI/Brent spread is calculated each day. If the current spread value is above SMA 20 then we enter a short position in the spread on close (betting that the spread will decrease to fair value represented by SMA 20). The trade is closed at the close of the trading day when the spread crosses below fair value. If the current spread value is below SMA 20 then we enter a long position betting that the spread will increase and the trade is closed at the close of the trading day when the spread crosses above fair value.","Evans, Dunis, Laws: Trading Futures Spread: An Application of Correlationhttp://www.palgrave-journals.com/jdhf/journal/v15/n4/full/jdhf200924a.htmlhttp://www.ljmu.ac.uk/AFE/AFE_docs/Ben1004.PDFAbstract:Original motivation for this paper is the investigation of a correlation filter to improve the risk/return performance of the trading models. Further motivation is to extend the trading of futures spreads past the “Fair Value” type of model used by Butterworth and Holmes (2003). The trading models tested are the following; the cointegration “fair value” approach, MACD, traditional regression techniques and Neural Network Regression. Also shown is the effectiveness of the two types of filter, a standard filter and a correlation filter on the trading rule returns. Our results show that the best model for trading the WTI-Brent spread is an ARMA model, which proved to be profitable, both in- and out-of-sample. This is shown by out-of-sample annualised returns of 34.94% for the standard and correlation filters alike (inclusive of transactions costs)."
"101",101,"Earnings Revision Strategy","Yes","Monthly","120","equities","stocks","Complex strategy*","1987-2000",14,"23.00%*","6.44%*",NA,"Strong*","equity long short, financial statements effect",2.95,NA,NA,NA,NA,NA
"102",102,"Option-Expiration Week Effect","No","Weekly","1","equities","stocks, CFDs, ETFs, futures","Simple strategy","1988-2010",23,"9.30%*","8.70%*",NA,"Strong","seasonality, market timing, stock picking",0.61,"Academic research suggests that intra-month weekly patterns in call-related activity contribute to patterns in weekly average equity returns. Hedge rebalancing by option market makers in the largest stocks with the most actively traded options is a main reason for the abnormal stocks' returns. During option-expiration weeks, a sizable reduction occurs in option open interest as the near-term options approach expiration and then expire. A reduction in call open interest should be associated with a reduction in the net long call position of market makers. This implies a decrease in the short-stock positions being held by market makers to delta hedge their long call holdings.","No - Strategy is timing equity market but invests long-only into equity market factor (even that only for a short period of time) therefore is not suitable as a hedge/diversification during market/economic crises.","Option-expiration week is a week before options expiration (Friday before each 3rd Saturday in each month). Large-cap stocks with actively traded options tend to have substantially higher average weekly returns during these weeks. A simple market timing strategy could be therefore constructed -> hold the largest stocks during the option-expiration weeks and stay in cash during rest of the year.","Investors choose stocks from S&P 100 index as his/her investment universe (stocks could be easily tracked via ETF or index fund). He/she then goes long S&P 100 stocks during option expiration week and stays in cash during other days.","Stivers, Sun: Option Activity and Stock Returns During Option-Expiration Weekshttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1571786Abstract:Over 1983 to 2008, we find that large-cap stocks with actively traded options tend to have substantially higher average weekly returns during option-expiration weeks (a month's third-Friday week), with little difference in weekly return volatility. This difference in average weekly returns is evident in two dimensions, both relative to the other non-third-Friday weekly returns for the respective stock and relative to the third-Friday weekly returns for smaller stocks. By contrast, the average third-Friday weekly stock returns are not different than other weeks over a pre-option-market sample period from 1948 to 1972. To probe further, we investigate ties to option open interest and option volume. First, we find that option open interest decreases appreciably during the third-Friday week and that call trading is high during the third-Friday week, relative to both the underlying stock volume and the put volume. Second, patterns in call trading by non-market-makers suggest that the call-related delta exposure of market makers tends to decline appreciably during the option-expiration week. Third, we find that the average weekly stock returns are especially high for option-expiration weeks that also experience a high call trading volume, relative to the underlying stock volume. Along with related recent literature, our collective findings suggest that intra-month weekly patterns in call-related activity contribute to patterns in weekly average stock returns, with hedge rebalancing by option market makers being a likely avenue."
"103",103,"Intraday Reversal in Currency Markets","Yes","Intraday","1","currencies","futures, CFDs, forwards, swaps","Very complex strategy","2002-2006",5,"16.23%*","8.55%*",NA,"Moderately strong","market timing, reversal, FX anomaly, forex system",1.43,NA,NA,NA,NA,NA
"104",104,"Credit Spread Predicts Equity Returns","Yes","Daily","1","equities","CFDs, ETFs, futures","Complex strategy","1997-2011",15,"16.10%*","17.50%*",NA,"Strong","market timing, small cap",0.69,NA,NA,NA,NA,NA
"105",105,"Trading Natural Gas/Propane Spread","Yes","Daily","2","commodities","futures","Simple strategy","2000-2005",6,"25.59%*","12.70%*",NA,"Strong","pairs trading, arbitrage, spread trading",1.7,NA,NA,NA,NA,NA
"106",106,"Post-Guidance Drift","Yes","Daily","200*","equities","stocks","Complex strategy","1995-2008",14,"21.74%*",NA,NA,"Strong","stock picking, financial statements effect, earnings announcement, equity long short",0,NA,NA,NA,NA,NA
"107",107,"Short Term Reversal with ETFs","Yes","Weekly","44*","equities","ETFs","Simple strategy","1996-2005",10,"19.80%*","26.00%*",NA,"Strong","reversal, equity long short",0.61,NA,NA,NA,NA,NA
"108",108,"Soccer Clubs' Stocks Arbitrage","No","Daily","20*","equities","stocks","Moderately complex strategy","2000-2006",7,"42.00%*","50.00%*",NA,"Moderately strong","reversal, stock picking, arbitrage, short selling",0.76,"The academic paper postulates that an important reason for the stock market's apparent inefficient response to soccer game results is the systematic bias in investors' beliefs about the probability distribution of match outcomes. Bookmaker odds are compiled by a small group of experts and do not reflect investors' subjective beliefs while equity prices do so.","Yes - Short-selling strategy is a natural hedge/diversification to equity market factor during bear markets.","Sport betting is the favorite entertainment of many people. However bookmakers are reportedly more skilled at predicting game outcomes than bettors, and betting markets are therefore extraordinarily efficient. Betting shops' wide spreads are an additional obstacle. This means that it is exceptionally hard to beat the house in this game. But one remarkable academic study from shows that there are inefficiencies in publicly listed soccer clubs' stocks which can be exploited. Investors systematically overvalue stocks before important matches as they believe in positive outcomes. Teams often draw or lose a game and stocks incur negative returns. A complicated variant of this strategy (not stated in this version, but theoretically feasible) could be created by using booking shops to hedge equity market transactions.","The investment universe consists of liquid soccer clubs' stocks that are publicly traded. The investor then sells short stocks of clubs which play UEFA Championship matches (or other important matches) at the end of the business day before the match. Stocks are held for one day and the portfolio of stocks is equally weighted (if there are multiple clubs with matches that day).","Bernile, Lyandres: Understanding Investor Sentiment: The Case of Soccerhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1343685Abstract: We examine whether investors' biased ex-ante beliefs regarding probability distributions of future event outcomes are partially responsible for instances of stock market's inefficient responses to resolutions of uncertainty. We use a sample of publicly traded European soccer clubs and analyze their returns around important matches. Using a novel proxy for investors' expectations based on contracts traded on betting exchanges (prediction markets), we find that within our sample investor sentiment is attributable in part to a systematic bias in investors' ex-ante expectations. Investors are overly optimistic about their teams' prospects ex-ante and, on average, end up disappointed ex-post, leading to negative post-game abnormal returns. Our evidencemay have important implications for firms' investment decisions and corporate control transactions."
"109",109,"Accrual Volatility Anomaly","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1980-2008",29,"17.60%*","17.30%*",NA,"Strong*","equity long short, stock picking, financial statements effect, accruals effect",0.79,NA,NA,NA,NA,NA
"110",110,"Speculators' Effect in Commodities","Yes","Weekly","27","commodities","futures, CFDs","Complex strategy","1992-2010",19,"8.35%*","17.17%*",NA,"Strong","rotational system",0.25,NA,NA,NA,NA,NA
"111",111,"Hedgers' Effect in Commodities","Yes","Weekly","27","commodities","futures, CFDs","Complex strategy","1992-2010",19,"11.40%*","18.09%*",NA,"Strong","rotational system",0.41,NA,NA,NA,NA,NA
"112",112,"Acceleration Effect Combined with Momentum in Stocks","Yes","6 Months","1000*","equities","stocks","Complex strategy*","1926-2003",78,"18.24%*","29.70%*",NA,"Strong*","equity long short, momentum, momentum in stocks, stock picking",0.48,NA,NA,NA,NA,NA
"113",113,"January Barometer","No","Monthly","1","equities","ETFs, funds, futures, CFDs","Simple strategy","1857-2008",152,"10.38%*","16.80%*",NA,"Weak","seasonality, market timing",0.38,"The fundamental reasons for the persistence of this anomaly in the future are very weak and any rational explanation cannot be found. However, the whole anomaly is probably only a consequence of data mining. Additionally, the spread between the market timing using January barometer and passive investment in the equity market is so small that it is probably not interesting (or wise) to pursue this strategy. On the other hand, there is a large ammount of research that does not support this strategy, for example Huang: ""Real-Time Profitability of Published Anomalies: An Out-of-Sample Test"": ""The Other January Effect (OJE), which suggests positive (negative) equity market returns in January predict positive (negative) returns in the following 11 months of the year, does not outperform a buy-and-hold approach in the US equity market and therefore adds no value to market timers. There is also no evidence of the OJE working consistently on individual stocks or international markets."" or the work of Marshall and Visaltanachoti, ""The Other January Effect: Evidence Against Market Efficiency?"": ""The Other January Effect (OJE), which suggests positive (negative) equity market returns in January predict positive (negative) returns in the following 11 months of the year, underperforms a simple buy-and-hold strategy before and after risk-adjustment. Even the best modified OJE strategy, which benefits from several ex-post adjustments, does not generate statistically or economically significant excess returns."" Last but not least, Stivers, Sun and Sun in their work: ""The Other January Effect: International, Style, and Subperiod Evidence"" state that: ""Our evidence indicates that the OJE is primarily a U.S. market-level-based phenomenon that has diminished over time, which suggests a `temporary anomaly' interpretation.""Therefore, this strategy should be considered with a caution or maybe not traded at all, although the popular press tends to like it.","No - Strategy is timing equity market but invests long-only into equity market factor therefore is not suitable as a hedge/diversification during market/economic crises.","One of a seasonal anomalies is the January Barometer. January barometer is a calendar anomaly which says that equity index returns from February to December could be forecasted by the January performance of the particular equity index. The theory says, that a strong January should predict strong performance of the whole year and vice versa. Although, following Januarys in which the market return was positive, the average market return over the following 11 months was significantly higher than the average market return over the 11 months following Januarys in which the market return was negative, this strategy should be taken with caution. While the January Barometer should contain valuable information (however it may be just a data mining), the Barometer would have led an investor to be long the market during four of the five worst 11 month post-January intervals over the 152 years long backtesting period. Moreover, the simple long/short strategy of index would also lead the investor into disasterous short trades during bull markets. The aforementioned negative outcomes could be partially eliminated by the usage of long position in equity index combined with the bonds, but it is still questionable whether the strategy is rationally based, or is the product of upward trend of equities through the long time. However, according to the paper, the best usage of this barometer is the combination of equity index and treasury bonds. With a simple rule to long index after a strong January or to buy bonds after weak January. The aforementioned strategy should outperform passive long only strategy through the whole backtesting period, the long/short strategy according to Januarys and the long leg only of the January barometer strategy.","Invest in equity market in each January. Stay invested in equity markets (via ETF, fund or futures) only if January return is positive otherwise switch investments to T-Bills.","Cooper, McConnell, Ovtchinnikov: What’s the Best Way to Trade Using the January Barometer?http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1436516Abstract:According to Streetlore, as embedded in the adage “As goes January so goes the rest of the year,” the market return in January provides useful information to would-be investors in that the January market return predicts the market return over the remainder of the year. This adage has become known as the January Barometer. In an earlier paper (Cooper, McConnell and Ovtchinnikov, 2006) we investigated the power of the January market return to predict returns for the next 11 months using 147 years of U.S. stock market returns. We found that, on average, the 11-month holding period return following positive Januarys was significantly higher, by a wide margin, than the 11-month holding period return following negative Januarys. In this paper we update that analysis through 2008 and address the question of how an investor can best use that information as part of an investment strategy. We find that the best way to use the January Barometer is not the obvious one of being long following positive Januarys and short following negative Januarys, but to be long following positive Januarys and invest in t-bills following negative Januarys. This strategy beats various alternatives, including a passive long-the-marketall-the-time strategy, by significant margins over the 152 years for which we have data."
"114",114,"January Effect in Stocks","No","Monthly","1","equities","ETFs, funds, futures, CFDs","Simple strategy","1947-2007",61,"12.70%*",NA,NA,"Moderately Strong","seasonality, stock picking",0,"The most common explanation of this phenomenon is connected with the tax-sensitive individual investors (to income taxes). If those investors disproportionately hold small stocks, they tend to sell those stocks for tax reasons at the end of the year (to claim a capital loss) and reinvest during the first month of the next year. This paper overally states that this anomaly should work and is significant, however, if we would consider also another reasearch, the conclusions become mixed. For example, Haug and Hirschey in the ""The January Effect"" say that: ""The January effect in small cap stock returns is remarkably consistent over time, and does not appear to have been affected by passage of the Tax Reform Act of 1986. This finding adds new perspective to the traditional tax-loss selling hypothesis, and suggests the potential relevance of behavioral explanations. After a generation of intensive study, the January effect is alive and well, and continues to present a daunting challenge to the Efficient Market Hypothesis."" But the research of Anthony Yanxiang Gu - ""The Declining January Effect: Evidences from the U.S. Equity Markets"" says that: ""The January effect exhibits a pronounced declining trend for both large and small firm stock indices since 1988 and the effect is disappearing for the Russell indices. The downward trend is more apparent for indices containing small stocks than for indices of large stocks."". Connecting the aforementioned with the transaction costs leads to a conclusion, that in the recent period, the January effect is becoming impossible to trade.","No - Strategy invests long-only into equity market factor  therefore is not suitable as a hedge/diversification during market/economic crises.","The January effect is a calendar anomaly connected with the stocks with small market capitalization. The anomaly itself is old (Keim,1983), therefore it has been widely researched and is well-known in the academic world or between practicioners. The anomaly says that returns of the small cap stocks are particulary strong in the January. Although the strategy based on this anomaly is well-documented, the strategy is connected with certain problems. Firstly, there were unusually high January returns during the 1960s and 1970s or the years which formed the sample examined by Keim (1983) in his seminal study and which are frequently used as a benchmark in studies of the temporal behavior of the anomaly. However, this paper has found that the magnitude of the effect quite similar to what it was before the spike. Moreover, evidence does not suggest that investors are learning of the effect and are arbitraging it away. Additionaly, the effect should be present at all the major stocks exchanges (NYSE, AMEX and NASDAQ - if we would consider the small stocks). But in the last several years, the returns were very low. In the recent period, the January effect was so small that the transaction costs make it impossible to trade this anomaly and the anomaly has become unprofitable.This could be quite confusing, because on one hand (according to some papers), the January effect should be alive and well, and should continue to present a daunting challenge to the Efficient Market Hypothesis. On the other hand, this anomaly is starting to look more like the result of data mining than a real market anomaly and should not be traded at all.","Invest into small cap stocks at the beginning of each January. Stay invested in large cap stocks for rest of the year.","Easterday, Sen, Stephan: The Persistence of the Small Firm/January Effect: Is it Consistent With Investors' Learning and Arbitrage Efforts? http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1166149Abstract:Using improved methodology and an expanded research design, we examine whether the small firm/January effect (Keim 1983) is declining over time due to market efficiency. First, we find that January returns are smaller after 1963-1979, but have simply reverted to levels that existed before that time. Second, we show that the January effect is not limited to mature markets but also appears in firms trading on the relatively new NASDAQ exchange in the 1970s. Third, trading volume for small firms in December and January is not different from other months, implying that traders are not actively arbitraging the anomaly. Together, our results suggest that this anomaly continues to defy rational explanation in an efficient market."
"115",115,"Short-Term Residual Reversal","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1929-2008",80,"17.32%*","12.57%*",NA,"Strong*","equity long short, stock picking, reversal",1559347200,NA,NA,NA,NA,NA
"116",116,"Insider Trading Combined with Share Repurchases","Yes","Quarterly","80*","equities","stocks","Simple strategy","1988-2007",20,"16.00%*",NA,NA,"Strong","insiders effect, stock picking",0,NA,NA,NA,NA,NA
"117",117,"Lottery Effect in Stocks","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1962-2005",44,"13.08%*","28.64%*",NA,"Strong*","equity long short, sentiment",0.32,NA,NA,NA,NA,NA
"118",118,"Time Series Momentum Effect","No","Monthly","58","equities, bonds, commodities, currencies","futures, CFDs","Moderately complex strategy","1965-2009",45,"16.21%*","11.73%*",NA,"Strong","momentum",1554076800,"Academic research states that the time series momentum effect is consistent with behavioral theories of investors' initial under-reaction and delayed over-reaction applied to information dissemination.","Yes - Most of the research papers about momentum/trendfollowing strategies in futures mention negative correlation of this strategy against equity market risk, therefore strategy can be used as a hedge/diversification to equity market risk factor during bear markets.","Traditional cross-sectional momentum is a popular and very well-documented anomaly. Traditional momentum uses a universe of assets to pick past winners, and it predicts that those winners will continue to outperform their peers in the future as well. However, recent academic research shows that we do not need the whole universe of assets to exploit the momentum effect. A new version of this anomaly (Time Series Momentum) shows that each security’s (or asset's) own past return is a future predictor. The past 12-month excess return of each instrument is a positive predictor of its future return. A diversified portfolio of time series momentum across all assets is remarkably stable and robust, yielding a high Sharpe ratio with little correlation to passive benchmarks. An additional advantage is that time series momentum returns appear to be largest when the stock market's returns are most extreme; hence, time series momentum may be a hedge for extreme events.","The investment universe consists of 24 commodity futures, 12 cross-currency pairs (with 9 underlying currencies), 9 developed equity indices, and 13 developed government bond futures.Every month, the investor considers whether the excess return of each asset over the past 12 months is positive or negative and goes long on the contract if it is positive and short if negative. The position size is set to be inversely proportional to the instrument’s volatility. A univariate GARCH model is used to estimated ex-ante volatility in the source paper. However, other simple models could probably be easily used with good results (for example, the easiest one would be using historical volatility instead of estimated volatility). The portfolio is rebalanced monthly.","Moskowitz, Ooi, Pedersen: Time Series Momentumhttp://pages.stern.nyu.edu/~lpederse/papers/TimeSeriesMomentum.pdfAbstract:We document significant ""time series momentum"" in equity index, currency, commodity, and bond futures for each of the 58 liquid instruments we consider. We find persistence in returns for 1 to 12 months that partially reverses over longer horizons, consistent with sentiment theories of initial under-reaction and delayed over-reaction. A diversified portfolio of time series momentum strategies across all asset classes delivers substantial abnormal returns with little exposure to standard asset pricing factors, and performs best during extreme markets. We show that the returns to time series momentum are closely linked to the trading activities of speculators and hedgers, where speculators appear to profit from it at the expense of hedgers."
"119",119,"Google Search Effect","Yes","Weekly","186*","equities","stocks","Complex strategy","2005-2008",4,"9.20%*",NA,NA,"Moderately strong","stock picking, equity long short",0,NA,NA,NA,NA,NA
"120",120,"Speculators' Effect in FX","Yes","Weekly","5","currencies","futures, forwards, swaps, CFDs","Moderately complex strategy","1993-2000",8,"17.90%*",NA,NA,"Moderately strong","FX anomaly, forex system",0,NA,NA,NA,NA,NA
"121",121,"Hedgers' Effect in FX","Yes","Weekly","5","currencies","futures, forwards, swaps, CFDs","Moderately complex strategy","1993-2000",8,"16.10%*",NA,NA,"Moderately strong","FX anomaly, forex system",0,NA,NA,NA,NA,NA
"122",122,"Momentum Factor Combined with Asset Growth Effect","No","Monthly","1000*","equities","stocks","Complex strategy*","1964-2006",43,"23.00%*","20.30%*",NA,"Strong*","momentum, momentum in stocks, stock picking, financial statements effect, equity long short",0.94,"Academic research shows that the existing literature does not offer clear answers as to why firm investment, measured by asset growth, should be connected to return continuation. However, results from this academic study are highly statistically significant and based on a long data sample, and the interaction between asset growth and momentum survives the inclusion of the number of control variables. Confidence in this combined strategy, therefore, could be high.","Yes - Based on the source research paper (see Table IV), strategy has a significantly positive return during recession months (as defined by NBER) therefore probably can be used as a hedge/diversification to equity market risk factor during bear markets.","Few stock market anomalies are documented as well as the momentum effect. The momentum effect has not disappeared (or weakened) even after the strategy was made publicly known. Momentum interacts very well with other market anomalies and a combined strategy is usually more successful than its parts. The firm-level asset expansion (measured as the growth in balance sheet total assets) is one such partner. Academic research shows that momentum profits are especially strong and are highly statistically significant for stocks with high past asset growth. The positive relationship between asset growth and momentum remains strong even after adjustments for market value of equity, book-to-market, share turnover, return volatility or credit rating.","The investment universe consists of NYSE, AMEX and NASDAQ stocks (data for the backtest in the source paper are from Compustat). Stocks with a market capitalization less than the 20th NYSE percentile (smallest stocks) are removed. The asset growth variable is defined as the yearly percentage change in balance sheet total assets. Data from year t-2 to t-1 are used to calculate asset growth and July is the cut-off month. Every month, stocks are then sorted into deciles based on asset growth and only stocks with the highest asset growth are used. The next step is to sort stocks from the highest asset growth decile into quintiles, based on their past 11-month return (with the last month performance skipped in the calculation). The investor then goes long on stocks with the strongest momentum and short on stocks with the weakest momentum. The portfolio is equally weighted and is rebalanced monthly. The investor holds long-short portfolios only during February-December -> January is excluded as this month has been repeatedly documented as a negative month for a momentum strategy (see ""January Effect Filter and Momentum in Stocks"").","Nyberg, Poyry: Firm Expansion and Stock Price Momentumhttps://papers.ssrn.com/sol3/papers.cfm?abstract_id=1684767http://www.fma.org/NY/Papers/Expansion2010.pdfAbstract:We document a significant and robust connection between firm-level asset expansion and stock price momentum. Momentum profits are large and significant within groups of firms that have experienced large asset expansions or contractions, whereas they are small and often insignificant within groups of firms with smaller changes in assets. The interaction between asset growth and momentum is not subsumed by and often dominates previously documented cross-sectional drivers of momentum, and it shows up in various market states where prior literature has documented an absence of momentum profits. Furthermore, we find a positive time-series relation between aggregate firm asset expansion and return momentum. Our results have implications for theories aiming to explain the momentum anomaly."
"123",123,"Options Skewness Predicts Consecutive Stocks Returns","Yes","Weekly","300","equities","stocks","Complex strategy","1996-2005",10,"9.19%*","11.40%*",NA,"Strong","equity long short, volatility effect, stock picking",0.46,NA,NA,NA,NA,NA
"124",124,"Industry Momentum Combined with Reversal","Yes","Monthly","100*","equities","stocks","Complex strategy*","1931-2010",80,"50.90%*","42.16%*",NA,"Strong*","stock picking, reversal, momentum",1572566400,NA,NA,NA,NA,NA
